ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,VPH_PISODT,VPH_PISOTI,PROM_OCUP,P_TOTAL,P15PRI_IN,P15PRI_CO,P15SEC_CO,P15SEC_IN,P18YM_PB
19,Nuevo León,000,Total de la entidad Nuevo León,0000,Total de la Entidad,1147152,23952,3.85,4653458,267377,431639,865327,149693,1341125
19,Nuevo León,000,Total de la entidad Nuevo León,9998,Localidades de una vivienda,2176,253,*,8764,1900,1709,1398,354,756
19,Nuevo León,000,Total de la entidad Nuevo León,9999,Localidades de dos viviendas,1240,184,*,4658,1079,861,584,155,297
19,Nuevo León,001,Abasolo,0000,Total del Municipio,695,13,3.80,2791,242,309,596,152,420
19,Nuevo León,001,Abasolo,9998,Localidades de una vivienda,6,0,*,35,2,3,4,2,3
19,Nuevo León,001,Abasolo,9999,Localidades de dos viviendas,3,0,*,8,0,2,1,0,1
19,Nuevo León,001,Abasolo,0001,Abasolo,500,2,3.77,1976,188,190,403,119,344
19,Nuevo León,001,Abasolo,0008,La Gloria,*,*,*,7,*,*,*,*,*
19,Nuevo León,001,Abasolo,0009,Los Ligeros,*,*,*,3,*,*,*,*,*
19,Nuevo León,001,Abasolo,0011,La Muralla,*,*,*,4,*,*,*,*,*
19,Nuevo León,001,Abasolo,0021,Abasolo,5,0,4.40,22,0,3,4,1,2
19,Nuevo León,001,Abasolo,0025,Casa Rosa (Los Olivos),*,*,*,6,*,*,*,*,*
19,Nuevo León,001,Abasolo,0033,Yamallel,*,*,*,4,*,*,*,*,*
19,Nuevo León,001,Abasolo,0036,Los Lozano,*,*,*,2,*,*,*,*,*
19,Nuevo León,001,Abasolo,0037,La Placeta,*,*,*,4,*,*,*,*,*
19,Nuevo León,001,Abasolo,0040,Cuatro Vientos,*,*,*,4,*,*,*,*,*
19,Nuevo León,001,Abasolo,0042,Los Diez (La Tripona),*,*,*,5,*,*,*,*,*
19,Nuevo León,001,Abasolo,0044,Las Palmas,*,*,*,4,*,*,*,*,*
19,Nuevo León,001,Abasolo,0046,Colinas del Fraile,3,4,4.43,34,2,6,5,1,2
19,Nuevo León,001,Abasolo,0047,Alberto Villarreal,178,7,3.83,716,50,105,179,29,68
19,Nuevo León,002,Agualeguas,0000,Total del Municipio,1152,11,2.93,3443,574,688,482,161,455
19,Nuevo León,002,Agualeguas,9998,Localidades de una vivienda,32,2,*,110,26,21,11,6,7
19,Nuevo León,002,Agualeguas,9999,Localidades de dos viviendas,13,1,*,46,7,7,6,1,3
19,Nuevo León,002,Agualeguas,0001,Agualeguas,664,2,2.98,1995,282,285,287,105,345
19,Nuevo León,002,Agualeguas,0004,Agua Blanca,*,*,*,6,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0009,Tres Hermanos,14,0,4.14,58,9,11,6,7,3
19,Nuevo León,002,Agualeguas,0012,Cieneguitas,18,2,2.71,57,15,18,7,4,6
19,Nuevo León,002,Agualeguas,0017,La Escondida,60,0,2.79,173,38,55,21,3,15
19,Nuevo León,002,Agualeguas,0020,El Maguey,*,*,*,3,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0021,Los Garza,85,0,2.84,244,32,77,52,5,19
19,Nuevo León,002,Agualeguas,0022,La Gloria,*,*,*,11,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0027,Lagunillas (San José Lagunillas),19,1,3,60,20,14,3,2,5
19,Nuevo León,002,Agualeguas,0030,Los Martínez,*,*,*,2,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0033,El Milagro,*,*,*,5,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0035,El Nogal,19,0,2.89,55,14,20,7,0,2
19,Nuevo León,002,Agualeguas,0036,Los Nogales,106,0,2.84,312,53,78,44,13,34
19,Nuevo León,002,Agualeguas,0037,Ojo de Agua,34,0,2.38,81,27,27,7,2,7
19,Nuevo León,002,Agualeguas,0041,El Papalote,*,*,*,1,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0045,El Prieto,*,*,*,2,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0047,La Purísima,3,0,2,6,1,3,1,0,0
19,Nuevo León,002,Agualeguas,0048,Rancho Nuevo,74,2,2.53,192,40,67,22,9,8
19,Nuevo León,002,Agualeguas,0060,Los Vázquez,4,0,4.50,18,3,2,3,1,0
19,Nuevo León,002,Agualeguas,0076,El Recodo,*,*,*,9,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0087,Rancho Seco,*,*,*,1,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0090,Puerta las Ovejas,*,*,*,4,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0091,Minerva,*,*,*,4,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0097,Los Robles,*,*,*,3,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0111,San José,*,*,*,3,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0131,San Andrés (Marín de Porras),*,*,*,10,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0134,Tío Mario,*,*,*,4,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0136,Piedra Parada,*,*,*,2,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0140,La Brisa,*,*,*,3,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0154,Chapa Ramos Dos,*,*,*,1,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0163,El Roble,*,*,*,4,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0166,San Cristóbal,*,*,*,3,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0170,Los Mezquites,*,*,*,5,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0173,El Derrame,*,*,*,4,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0176,Sagrado Corazón (Los Gutiérrez),*,*,*,4,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0177,El Chamizal,*,*,*,2,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0180,La Conchita,*,*,*,3,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0181,La Barreta,*,*,*,5,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0182,Santa Fe,*,*,*,4,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0189,Jesús Vázquez,*,*,*,1,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0200,El Potrero,*,*,*,2,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0204,El Guajolote,*,*,*,4,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0219,Ruperto Quiroga Landa,*,*,*,7,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0221,San José,*,*,*,2,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0223,Ninguno,*,*,*,1,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0228,Los Elizondo Número Uno,*,*,*,1,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0241,San Roberto,*,*,*,4,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0242,Santos Valadez (Piedra Parada),*,*,*,2,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0246,Lázaro Maldonado,*,*,*,1,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0264,Agualeguas,*,*,*,4,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0270,José Luis Mayo,*,*,*,9,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0282,Ramón Cantú,*,*,*,2,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0283,El Abuelo,*,*,*,6,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0297,Dermy,*,*,*,2,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0306,Raúl Molina,7,1,4.50,36,7,3,5,3,1
19,Nuevo León,003,Los Aldamas,0000,Total del Municipio,463,1,2.89,1374,349,257,219,37,92
19,Nuevo León,003,Los Aldamas,9998,Localidades de una vivienda,6,0,*,16,7,2,1,0,0
19,Nuevo León,003,Los Aldamas,9999,Localidades de dos viviendas,4,0,*,10,7,0,2,0,1
19,Nuevo León,003,Los Aldamas,0001,Los Aldamas,190,1,2.84,545,131,115,85,11,50
19,Nuevo León,003,Los Aldamas,0004,Barrio Aldamas,69,0,3.01,214,66,43,23,6,11
19,Nuevo León,003,Los Aldamas,0006,Buena Vista,3,0,1.67,5,1,1,2,0,0
19,Nuevo León,003,Los Aldamas,0010,Aldama [Estación],163,0,2.99,490,104,86,100,18,29
19,Nuevo León,003,Los Aldamas,0016,La Palmita,9,0,2.22,20,9,4,2,0,0
19,Nuevo León,003,Los Aldamas,0022,San Pedro,8,0,2.13,20,9,3,2,0,0
19,Nuevo León,003,Los Aldamas,0031,La Sandía,N/D,N/D,N/D,18,N/D,N/D,N/D,N/D,N/D
19,Nuevo León,003,Los Aldamas,0037,La Loma [Ganadera],11,0,3.27,36,15,3,2,2,1
19,Nuevo León,003,Los Aldamas,0040,El Pizarro,*,*,*,3,*,*,*,*,*
19,Nuevo León,003,Los Aldamas,0047,Las Enramaditas,*,*,*,2,*,*,*,*,*
19,Nuevo León,003,Los Aldamas,0059,Facunda García,*,*,*,2,*,*,*,*,*
19,Nuevo León,003,Los Aldamas,0060,Ninguno,*,*,*,7,*,*,*,*,*
19,Nuevo León,003,Los Aldamas,0075,Los Cinco Hermanos,*,*,*,1,*,*,*,*,*
19,Nuevo León,003,Los Aldamas,0080,Santa Fe,*,*,*,2,*,*,*,*,*
19,Nuevo León,003,Los Aldamas,0088,Paso la Cuna,*,*,*,6,*,*,*,*,*
19,Nuevo León,003,Los Aldamas,0095,Arturo Chavero,*,*,*,3,*,*,*,*,*
19,Nuevo León,004,Allende,0000,Total del Municipio,9009,139,3.49,32593,3451,4690,6259,1085,5684
19,Nuevo León,004,Allende,9998,Localidades de una vivienda,15,1,*,62,9,13,9,0,4
19,Nuevo León,004,Allende,9999,Localidades de dos viviendas,10,0,*,43,2,6,7,1,2
19,Nuevo León,004,Allende,0001,Ciudad de Allende,7157,113,3.52,26065,2434,3599,5056,875,4945
19,Nuevo León,004,Allende,0002,Altamira,19,0,3.11,62,6,16,8,1,11
19,Nuevo León,004,Allende,0004,Atongo de Arriba,14,0,2.71,38,13,4,11,0,3
19,Nuevo León,004,Allende,0005,La Boquilla (Las Boquillas),53,0,3.40,180,26,30,43,8,26
19,Nuevo León,004,Allende,0006,El Cerrito,78,0,3.36,286,44,58,31,14,24
19,Nuevo León,004,Allende,0007,La Colmena de Abajo,36,1,3.57,135,24,20,30,3,9
19,Nuevo León,004,Allende,0008,La Colmena de Arriba,48,0,3.31,159,26,28,31,9,22
19,Nuevo León,004,Allende,0010,Los Aguirre,36,1,2.97,110,28,12,27,5,10
19,Nuevo León,004,Allende,0011,Chancaca (Los Chancacos),12,0,3.25,39,6,5,5,0,14
19,Nuevo León,004,Allende,0012,Los Guzmán,68,1,3.58,247,42,40,44,9,31
19,Nuevo León,004,Allende,0014,Lazarillos de Abajo,123,1,3.27,406,57,57,83,10,76
19,Nuevo León,004,Allende,0015,Lazarillos de Arriba,75,0,2.97,223,46,38,34,6,23
19,Nuevo León,004,Allende,0016,Mata de Guaje,16,0,3.25,55,10,11,12,2,3
19,Nuevo León,004,Allende,0017,La Nueva Esperanza,8,0,3,28,1,1,6,0,12
19,Nuevo León,004,Allende,0018,Paso Hondo,205,1,3.59,790,102,139,127,25,100
19,Nuevo León,004,Allende,0019,La Paz,9,1,2.70,27,10,5,1,1,4
19,Nuevo León,004,Allende,0020,El Porvenir,131,1,3.40,449,77,70,92,13,47
19,Nuevo León,004,Allende,0021,Raíces,16,1,3.06,55,17,7,8,1,0
19,Nuevo León,004,Allende,0022,Los Sabinos (Sabinos de Abajo),308,3,3.33,1111,139,178,212,23,139
19,Nuevo León,004,Allende,0023,San Antonio (Hacienda San Antonio),133,2,3.16,432,75,86,90,13,28
19,Nuevo León,004,Allende,0024,Los Terreros,88,0,3.76,331,41,46,81,14,30
19,Nuevo León,004,Allende,0025,El Venado,11,1,3,36,9,5,8,0,1
19,Nuevo León,004,Allende,0026,Jáuregui,119,3,3.55,439,68,89,76,22,36
19,Nuevo León,004,Allende,0029,Los Barros,13,0,3.15,41,3,4,6,2,12
19,Nuevo León,004,Allende,0034,El Maguey,24,2,4.08,106,23,18,12,5,7
19,Nuevo León,004,Allende,0035,La Orquídea Blanca,*,*,*,4,*,*,*,*,*
19,Nuevo León,004,Allende,0036,El Rosario (El Reparo),*,*,*,2,*,*,*,*,*
19,Nuevo León,004,Allende,0037,San Carlos,*,*,*,4,*,*,*,*,*
19,Nuevo León,004,Allende,0042,Bejarán (La Gloria),*,*,*,2,*,*,*,*,*
19,Nuevo León,004,Allende,0046,Las Puentes,14,1,3.07,46,12,5,9,1,9
19,Nuevo León,004,Allende,0050,Atongo de Abajo (Atongo Allende),66,0,3.12,215,37,32,40,8,28
19,Nuevo León,004,Allende,0051,La Cañada Honda,14,0,3,42,11,8,9,0,2
19,Nuevo León,004,Allende,0054,Los Leales,*,*,*,4,*,*,*,*,*
19,Nuevo León,004,Allende,0059,El Mentidero,*,*,*,5,*,*,*,*,*
19,Nuevo León,004,Allende,0063,El Olmo (Meseta del Pato),9,1,4.60,46,5,11,9,2,2
19,Nuevo León,004,Allende,0064,El Pato,*,*,*,10,*,*,*,*,*
19,Nuevo León,004,Allende,0065,El Provisor,10,1,3,33,7,5,6,1,1
19,Nuevo León,004,Allende,0068,San Gabriel,*,*,*,2,*,*,*,*,*
19,Nuevo León,004,Allende,0069,San Jorge,6,0,3.50,21,5,2,3,1,2
19,Nuevo León,004,Allende,0071,Loma de los Cavazos (María de la Luz),*,*,*,10,*,*,*,*,*
19,Nuevo León,004,Allende,0077,Vicente Salazar (Labores Nuevas),5,1,3.33,20,4,4,5,1,1
19,Nuevo León,004,Allende,0078,La Coma,*,*,*,9,*,*,*,*,*
19,Nuevo León,004,Allende,0079,El Tulapan,3,0,4,12,2,1,3,1,0
19,Nuevo León,004,Allende,0080,Allende [Unidad Avícola],*,*,*,6,*,*,*,*,*
19,Nuevo León,004,Allende,0081,El Pato (Meseta del Pato),4,0,2.75,11,5,3,0,0,0
19,Nuevo León,004,Allende,0082,Tres Botellas (El Olmo),2,0,3,9,0,0,4,1,0
19,Nuevo León,004,Allende,0083,El Olmo,3,0,1.67,5,3,2,0,0,0
19,Nuevo León,004,Allende,0084,Felícitos Rodríguez Cavazos,4,0,4,25,5,1,2,0,1
19,Nuevo León,004,Allende,0085,El Faisán,*,*,*,8,*,*,*,*,*
19,Nuevo León,004,Allende,0086,Ashram el Cerrito (Granja el Canelo),*,*,*,4,*,*,*,*,*
19,Nuevo León,004,Allende,0087,Los Sabinos de Arriba,5,0,2.60,13,1,6,1,0,0
19,Nuevo León,004,Allende,0091,Loma Martínez,*,*,*,6,*,*,*,*,*
19,Nuevo León,004,Allende,0097,Catorce de Septiembre,*,*,*,4,*,*,*,*,*
19,Nuevo León,004,Allende,0099,La Conchita (Kilómetro Dos),*,*,*,6,*,*,*,*,*
19,Nuevo León,004,Allende,0101,Las Pléyades,*,*,*,2,*,*,*,*,*
19,Nuevo León,004,Allende,0102,Las Cruces [Carretera Nacional Kilómetro 236],17,2,3.79,72,8,15,10,4,3
19,Nuevo León,004,Allende,0105,San Javier,*,*,*,4,*,*,*,*,*
19,Nuevo León,004,Allende,0111,Colinas del Vergel,3,0,2.67,8,0,0,0,0,6
19,Nuevo León,004,Allende,0112,Los Naranjos,*,*,*,5,*,*,*,*,*
19,Nuevo León,004,Allende,0113,Villas de San Antonio,4,0,3.25,13,1,1,1,1,4
19,Nuevo León,004,Allende,0117,Campestre All Green,7,0,2.43,17,2,5,3,0,2
19,Nuevo León,004,Allende,0118,Villas Campestres de Rancho Grande,8,0,3.75,30,5,4,4,2,4
19,Nuevo León,004,Allende,0119,San Ángel,*,*,*,4,*,*,*,*,*
19,Nuevo León,004,Allende,0123,La Palapa,*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0000,Total del Municipio,4619,225,3.63,18480,2283,2702,2456,716,2879
19,Nuevo León,005,Anáhuac,9998,Localidades de una vivienda,167,31,*,569,174,123,52,12,29
19,Nuevo León,005,Anáhuac,9999,Localidades de dos viviendas,47,13,*,151,36,40,19,5,7
19,Nuevo León,005,Anáhuac,0001,Anáhuac,4113,133,3.72,16628,1842,2342,2233,668,2730
19,Nuevo León,005,Anáhuac,0016,Jarita [Estación],*,*,*,8,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0017,El Milagro,*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0018,Nuevo Anáhuac,15,17,3.34,107,32,15,11,0,5
19,Nuevo León,005,Anáhuac,0019,Nuevo Camarón,15,3,3.44,62,21,18,2,2,2
19,Nuevo León,005,Anáhuac,0020,Nuevo Rodríguez,24,6,3.10,93,23,15,13,2,4
19,Nuevo León,005,Anáhuac,0025,La Burra,3,0,1.67,5,1,2,1,1,0
19,Nuevo León,005,Anáhuac,0032,Regantes Número Catorce,4,0,3.50,14,3,4,4,0,1
19,Nuevo León,005,Anáhuac,0035,Regantes Número Diecinueve,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0039,Regantes Número Veintisiete,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0042,Omar Cárdenas Guzmán,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0045,Salinillas,26,3,3.07,89,17,20,16,3,3
19,Nuevo León,005,Anáhuac,0046,San Francisco,*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0048,Las Bugambilias,3,0,2.67,8,3,2,0,1,0
19,Nuevo León,005,Anáhuac,0054,El Nuevo Pillaje (Los Bancos),*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0055,Los Difuntos (San Fernando),*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0058,El Pillaje,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0059,Cuevas Pintas,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0060,Laguna de la Leche (San Pablo),*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0061,El Cuervo,*,*,*,9,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0062,La Capilla,3,0,4,12,5,1,0,0,0
19,Nuevo León,005,Anáhuac,0075,San Nicolás,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0078,Las Compuertas,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0083,Los Santiagos,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0088,El Triángulo,*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0094,Las Víboras,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0099,La Bota,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0103,Cucuyas,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0104,San José,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0109,El Perico,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0112,Camarón [Estación],*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0113,El Puerto,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0114,Alto Anáhuac,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0120,Leonardo Martínez,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0130,La Venada,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0132,El Tapeiste,*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0133,Las Moras,*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0137,Casa Blanca,*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0142,San Miguelito,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0151,El Nogal,*,*,*,7,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0156,La Batidora,*,*,*,6,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0164,La Noria,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0170,San Alberto,*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0183,El Centenario,*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0185,El Rincón,*,*,*,6,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0186,Palo Hueco,*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0187,El Setenta,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0209,Colombia,140,9,3.45,514,70,65,85,15,84
19,Nuevo León,005,Anáhuac,0210,Colombia,5,1,4.50,27,4,6,5,1,1
19,Nuevo León,005,Anáhuac,0212,La Cruz,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0219,La Capilla Lado Sur (La Capilla),*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0232,Guadalupe (Bernabé),*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0242,La Charretera (Los Arcos),*,*,*,6,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0244,El Coche,*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0249,La Pita,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0253,El Cuarenta,*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0256,Los Cueva,3,1,1.75,7,0,2,1,1,0
19,Nuevo León,005,Anáhuac,0257,La Curva,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0259,Diez Hermanos (Los Alvarado),*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0262,El Doce,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0265,Doña Sofía,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0276,Los Garza,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0278,La Gloria,16,1,3.82,65,13,17,6,0,2
19,Nuevo León,005,Anáhuac,0284,Los Hernández,3,0,3,9,2,5,0,0,1
19,Nuevo León,005,Anáhuac,0287,Inés Rodríguez (San Antonio),*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0292,Los Laureles,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0298,Las Margaritas,*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0304,Mata,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0307,El Moro,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0311,Los Monsiváis,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0313,El Noventa y Uno,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0319,Las Peñas,*,*,*,7,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0325,Felipe Balderas,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0326,Puente del Río Salado,7,1,3.63,29,8,8,2,1,3
19,Nuevo León,005,Anáhuac,0330,Rancho Nuevo y Hermanas,*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0331,Rancho Seco,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0332,La Rápida,*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0337,El Refugio,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0338,Regantes Número Treinta y Dos,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0342,La Rosita,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0344,Los Salazar,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0356,San Juan (Los Trejo),*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0357,San Juan,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0358,San Luis,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0359,San Miguel,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0364,Santa Gertrudis,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0373,Los Torres,4,0,3.50,14,3,4,0,1,1
19,Nuevo León,005,Anáhuac,0376,El Treinta y Cuatro,*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0380,Dos Hermanos,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0390,El Zafiro,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0395,Anselmo Rivera,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0398,Las Cinco Emes,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0399,Cruz Niño (María Elena Hernández),*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0401,Los Campozano,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0406,Fernando Montemayor,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0409,El Durazno (Los Álamos),*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0410,Gracias a Dios,*,*,*,5,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0411,El Garceño,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0413,Los Gómez,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0418,Jesús Benítez,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0422,Kilómetro Veintiocho,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0427,Miguel Vargas,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0430,El Nogal,*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0440,La Palma,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0446,Pinal,*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0447,El Capitán (San Elías),*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0449,Los Requejo,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0453,San Reynaldo,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0454,Santos Torres,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0456,San Vicente,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0467,Los Tres Antonios,*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0469,Victoriano Muñiz,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0476,Don Alfonso (La Trinidad),*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0480,Alfredo López,*,*,*,2,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0482,El Capricho,*,*,*,3,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0483,Roberto Flores (La Palma),*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0484,José Baldazo,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0496,Palo Blanco,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0497,Elías García,*,*,*,4,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0499,Catarino Garza,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0500,El Noventa y Ocho,*,*,*,1,*,*,*,*,*
19,Nuevo León,005,Anáhuac,0503,Rogelio Camacho,*,*,*,4,*,*,*,*,*
